accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
-0.2324,0.0948,0.9530,2.5024,11.8408,6.1646,0,0,0,1
-0.2257,0.1025,0.9379,1.2817,8.4229,6.4697,0,0,0,1
-0.2091,0.0854,0.9568,-0.3052,5.7373,-0.4272,0,0,0,1
-0.1957,0.0951,0.9415,1.8311,2.1362,-1.7700,0,0,0,1
-0.2113,0.0944,0.9453,-0.1831,0.7935,-0.1831,0,0,0,1
-0.1996,0.0820,1.0028,1.4648,0.6714,-0.2441,0,0,0,1
-0.2408,0.0658,1.0906,15.6860,16.0522,-2.2583,1,0,0,0
-0.0040,-0.2213,1.2664,64.8193,82.4585,0.1831,0,0,1,0
0.2896,-0.2070,1.4049,18.2495,71.8384,34.3018,0,1,0,0
0.0664,0.0342,1.0128,-45.9595,33.4473,33.9355,0,1,0,0
-0.0443,0.1256,0.9452,-48.0347,18.4326,27.2217,0,0,0,1
-0.0685,0.1843,0.8173,-42.7856,25.0854,9.0942,0,0,0,1
0.1039,0.1500,0.7159,-11.7798,47.7295,40.6494,0,1,0,0
0.0179,0.1803,0.6428,-0.7324,25.3906,12.9395,0,0,0,1
0.1501,0.1106,0.7755,3.9673,27.3438,16.6016,0,1,0,0
0.2423,0.1304,0.8058,-2.5024,5.5542,1.7700,0,1,0,0
0.2666,0.1383,0.8445,3.1128,-8.3008,-10.0098,0,1,0,0
0.2495,0.1572,0.8381,5.4321,-17.3950,-8.8501,0,1,0,0
0.1787,0.0894,0.9348,17.2119,-7.0801,-6.3477,0,1,0,0
0.2133,0.0278,0.9983,7.9346,-13.9160,-13.4888,0,1,0,0
0.1692,0.0942,0.9061,-8.0566,-12.0239,-7.0190,0,1,0,0
0.1914,0.0529,0.8870,1.0376,-9.3994,14.0381,0,1,0,0
0.0598,0.1587,0.7057,-10.6201,-34.5459,5.7983,0,1,0,0
-0.0929,0.1339,0.7721,6.0425,-15.3809,28.3813,0,0,0,1
0.2253,0.0293,1.0701,6.1646,-59.7534,-29.6021,0,1,0,0
0.0962,0.0623,1.1058,-3.6621,-62.8052,3.9062,0,1,0,0
-0.0314,0.0516,1.1285,-8.7280,-73.3032,-3.4180,0,1,0,0
-0.1628,0.3167,1.2006,28.8696,-44.1895,-8.3618,0,0,0,1
-0.0790,-0.2123,1.3417,-10.1318,18.2495,15.9912,0,0,1,0
-0.4701,0.2040,0.7446,-24.1089,-7.3853,5.5542,1,0,0,0
-0.1558,0.1362,1.0052,18.3716,8.4229,-23.3154,0,0,0,1
-0.1588,0.1000,0.8829,-10.3149,-4.6997,-3.6011,0,0,0,1
-0.1733,0.0702,0.9465,7.6904,0.3052,-10.9863,0,0,0,1
-0.1807,0.0742,0.9385,-15.4419,-5.7983,5.4932,0,0,0,1
-0.2067,0.0984,0.9517,0.4883,2.5635,1.8921,0,0,0,1
-0.1713,0.1395,0.9668,0.1831,3.2349,6.1646,0,0,0,1
-0.2139,0.1718,1.0165,-8.5449,3.6011,10.9253,0,0,0,1
-0.1984,0.2887,0.8849,-9.0332,-4.8828,-16.1743,0,0,0,1
-0.2147,0.3350,0.9514,12.6343,9.6436,-0.9155,0,0,0,1
-0.2463,0.2166,0.8320,41.5649,20.0195,-40.8936,0,0,0,1
0.0192,-0.1475,0.9481,53.8940,18.1885,-43.4570,0,1,0,0
0.1399,-0.2950,0.7378,46.2646,53.6499,12.3901,0,1,0,0
-0.0945,-0.4768,1.1776,45.9595,-5.0049,-24.9023,0,0,1,0
-0.2845,-0.2568,0.9886,2.3804,-30.6396,-23.3765,0,0,1,0
-0.1907,-0.2723,1.0374,4.5776,9.5825,-8.7280,0,0,1,0
-0.0541,-0.2872,0.9764,-1.4648,8.3008,-15.0757,0,0,1,0
-0.0857,-0.2837,0.9193,9.5215,13.7329,-8.3618,0,0,1,0
-0.0813,-0.3287,0.9446,-7.3242,-2.9907,-10.3760,0,0,1,0
-0.0671,-0.2770,0.9189,-0.9766,-5.8594,-3.5400,0,0,1,0
0.0900,-0.3734,1.0592,-2.9297,-14.4043,17.7002,0,0,1,0
-0.1591,-0.2345,0.9529,-61.4624,-30.8228,48.7671,0,0,1,0
-0.1449,-0.0089,0.9215,-77.0264,-40.8325,46.8140,0,0,0,1
-0.2520,0.3403,0.8965,-44.7998,-25.3296,44.7998,0,0,0,1
-0.3507,0.2887,1.0354,4.6387,12.3291,17.9443,0,0,0,1
-0.3315,0.1440,0.8163,-26.1841,1.5259,13.4277,1,0,0,0
-0.2672,0.1459,0.8458,9.2773,7.0801,-11.7187,0,0,0,1
-0.1566,0.0535,0.9484,8.7891,2.6855,-15.3809,0,0,0,1
-0.1569,-0.0092,1.0188,5.6763,-1.7700,-10.5591,1,0,0,0
-0.2349,-0.0013,0.9714,9.3994,8.6670,-3.4790,1,0,0,0
-0.1335,0.0071,0.9785,-1.4648,8.8501,-7.3853,0,0,0,1
-0.0811,0.0046,0.9658,2.1362,5.6763,-2.0142,0,1,0,0
-0.1390,0.0085,0.9900,-6.2866,-4.0283,7.3853,0,0,0,1
-0.1920,0.0361,0.9838,-7.8125,-1.8921,4.8218,0,0,0,1
-0.1580,0.0419,0.9911,-16.2964,4.6997,14.2822,0,0,0,1
-0.1752,0.0734,0.9086,-7.5684,2.1973,10.3760,0,0,0,1
-0.1831,0.0497,0.9739,1.7700,3.6621,1.5259,0,0,0,1
-0.1252,0.0464,0.9681,0.6714,4.8218,2.5635,0,0,0,1
-0.1179,0.0491,0.9775,-3.3569,5.1270,10.9863,0,0,0,1
